하	656615
있	247117
되	184520
않	69257
보	62231
아니	48729
대하	34545
가	33466
오	27042
위하	26156
주	26107
알	22792
받	21739
못하	20508
들	18907
보이	18845
쓰	17457
나오	16929
모르	16586
시키	16564
가지	16427
그러	16308
따르	15924
살	15622
만들	15537
나	14773
먹	12461
싶	12086
통하	11679
말	10911
듣	10433
내	9827
의하	9572
지나	9557
나가	8707
놓	8698
갖	8670
들어가	8148
두	7853
만나	7729
느끼	7664
찾	7374
죽	7231
묻	7153
맞	6984
버리	6912
나타나	6809
잡	6648
앉	6400
일어나	6370
부르	6240
서	6229
밝히	5756
치	5512
남	5489
짓	5476
사	5475
타	5445
생기	5284
떨어지	5154
읽	5143
이루	4906
들어오	4853
다니	4811
얻	4754
관하	4735
내리	4659
보내	4619
넣	4349
알리	4313
열	4289
떠나	4103
빠지	4029
입	4017
기다리	3955
이르	3947
당하	3903
믿	3875
나누	3860
웃	3855
돌아오	3756
향하	3658
이루어지	3492
바라보	3488
넘	3455
끝나	3408
열리	3407
그리	3355
세우	3320
걸리	3305
나서	3299
돌아가	3278
배우	3207
오르	3168
바꾸	3145
마시	3128
비하	3070
걷	2832
올리	2799
들리	2795
미치	2763
지니	2758
돌리	2742
자	2695
지키	2676
팔	2657
뜨	2652
맡	2646
흐르	2644
지	2619
전하	2595
낳	2573
울	2571
달	2493
놀라	2461
잇	2438
나타내	2437
삼	2428
안되	2420
달리	2415
사라지	2414
움직이	2392
인하	2385
옮기	2382
붙이	2374
좋아하	2369
일으키	2343
모으	2335
놀	2334
어쩌	2334
벗어나	2321
올라가	2308
끌	2304
모이	2296
붙	2258
잃	2247
지내	2221
차	2202
맞추	2198
드리	2189
취하	2179
바라	2157
벌이	2154
걸	2149
받아들이	2148
가르치	2131
갖추	2099
여기	2091
대	2088
다루	2087
변하	2065
거치	2057
바뀌	2051
풀	2042
담	2032
겪	2029
정하	2013
쉬	2001
태어나	1996
들어서	1961
드러나	1946
남기	1927
즐기	1926
살펴보	1915
피하	1887
돌	1878
던지	1874
원하	1859
걸치	1859
나아가	1859
뛰	1855
이러	1845
지나가	1825
잊	1807
쓰이	1798
꺼내	1787
이어지	1781
눕	1749
놓이	1723
찍	1716
막	1712
벌어지	1696
쳐다보	1696
떠오르	1691
자라	1689
빼	1631
싸우	1628
늘어나	1624
구하	1621
죽이	1621
내려오	1598
깨닫	1590
마치	1586
드러내	1579
살아가	1540
찾아오	1539
따지	1536
계시	1491
참	1479
앞서	1475
안	1466
불리	1437
지르	1426
터지	1422
피우	1413
속하	1412
데리	1410
가져오	1408
끼	1402
이끌	1399
내놓	1398
비	1395
가리	1380
그치	1376
떨	1368
멈추	1362
뽑	1361
잘하	1358
달라지	1353
키우	1351
벌	1321
떼	1315
높이	1293
찾아가	1288
어울리	1284
흘리	1277
내려가	1268
견디	1265
쌓	1242
잡히	1237
펴	1236
울리	1230
이기	1222
줄이	1209
늘	1206
기울이	1203
넘기	1192
채우	1188
기르	1184
감	1184
불	1182
치르	1182
고치	1181
넘어가	1177
피	1175
깨	1172
더불	1170
펼치	1170
누르	1168
돕	1158
빌리	1142
벗	1141
닦	1139
살리	1139
부리	1131
끊	1125
흔들	1122
맺	1119
다가오	1115
막히	1111
띠	1102
모시	1094
내밀	1093
가리키	1093
주어지	1087
살피	1083
들이	1082
차리	1074
닿	1064
쥐	1054
심	1052
물	1050
따	1047
알아보	1045
외치	1040
거두	1039
숨	1026
맡기	1019
띄	1013
올라오	993
마르	990
때리	983
적	973
젖	968
고르	962
씻	961
감추	957
내세우	953
늙	953
담기	942
밀	937
꾸미	936
먹이	932
싣	924
쏟아지	922
자르	912
애쓰	909
무너지	908
쌓이	905
뿌리	899
줄어들	899
일어서	893
누리	881
둘러싸	878
실리	876
커지	873
생겨나	872
밟	868
끝내	866
허	863
어찌하	859
잘못되	852
몰	850
돌아보	849
행하	846
덮	832
쓰러지	829
떠올리	825
싸	818
소리치	810
찾아보	809
퍼지	809
덧붙이	805
풀리	803
켜	800
그만두	799
매달리	793
달려가	790
지켜보	790
걸어가	789
찾아내	788
달하	788
들여다보	786
숨기	784
지치	783
챙기	782
쏟	780
더하	780
날리	779
몰리	777
